,ncformat,ipcc_code,ipcc_name,sourcename,crf,old_sg_name,ccp_category,pollutant,emission_year,mt_co2e,base_level
132,Agriculture,1A4cii,1A4cii_Agriculture/Forestry/Fishing:Off-road,Agriculture - mobile machinery,Energy,Agriculture and related land use,Agriculture,N2O,1995,0.009982453,0.000180695
133,Agriculture,1A4cii,1A4cii_Agriculture/Forestry/Fishing:Off-road,Agriculture - mobile machinery,Energy,Agriculture and related land use,Agriculture,N2O,1998,0.009993208,0.000180695
134,Agriculture,1A4cii,1A4cii_Agriculture/Forestry/Fishing:Off-road,Agriculture - mobile machinery,Energy,Agriculture and related land use,Agriculture,N2O,1999,0.009795805,0.000180695
135,Agriculture,1A4cii,1A4cii_Agriculture/Forestry/Fishing:Off-road,Agriculture - mobile machinery,Energy,Agriculture and related land use,Agriculture,N2O,2000,0.0095083,0.000180695
136,Agriculture,1A4cii,1A4cii_Agriculture/Forestry/Fishing:Off-road,Agriculture - mobile machinery,Energy,Agriculture and related land use,Agriculture,N2O,2001,0.009345198,0.000180695
137,Agriculture,1A4cii,1A4cii_Agriculture/Forestry/Fishing:Off-road,Agriculture - mobile machinery,Energy,Agriculture and related land use,Agriculture,N2O,2002,0.009314923,0.000180695
138,Agriculture,1A4cii,1A4cii_Agriculture/Forestry/Fishing:Off-road,Agriculture - mobile machinery,Energy,Agriculture and related land use,Agriculture,N2O,2003,0.00924065,0.000180695
139,Agriculture,1A4cii,1A4cii_Agriculture/Forestry/Fishing:Off-road,Agriculture - mobile machinery,Energy,Agriculture and related land use,Agriculture,N2O,2004,0.008872372,0.000180695
140,Agriculture,1A4cii,1A4cii_Agriculture/Forestry/Fishing:Off-road,Agriculture - mobile machinery,Energy,Agriculture and related land use,Agriculture,N2O,2005,0.00896037,0.000180695
141,Agriculture,1A4cii,1A4cii_Agriculture/Forestry/Fishing:Off-road,Agriculture - mobile machinery,Energy,Agriculture and related land use,Agriculture,N2O,2006,0.008521135,0.000180695
142,Agriculture,1A4cii,1A4cii_Agriculture/Forestry/Fishing:Off-road,Agriculture - mobile machinery,Energy,Agriculture and related land use,Agriculture,N2O,2007,0.008098641,0.000180695
143,Agriculture,1A4cii,1A4cii_Agriculture/Forestry/Fishing:Off-road,Agriculture - mobile machinery,Energy,Agriculture and related land use,Agriculture,N2O,2008,0.007899069,0.000180695
144,Agriculture,1A4cii,1A4cii_Agriculture/Forestry/Fishing:Off-road,Agriculture - mobile machinery,Energy,Agriculture and related land use,Agriculture,N2O,2009,0.008075868,0.000180695
145,Agriculture,1A4cii,1A4cii_Agriculture/Forestry/Fishing:Off-road,Agriculture - mobile machinery,Energy,Agriculture and related land use,Agriculture,N2O,2010,0.008131751,0.000180695
